epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,10933.4,1.08226,2.22115,0.65768,1.11776,0.95008,0.9435,0.97613,0.71068,0.91982,0.89594,0.93389,0.51434,0.97913,1.99965,0.55329,1.09604,0.000411227,0.000411227,0.000411227
42,11178.3,1.07858,2.22573,0.658,1.11479,0.95439,0.94483,0.97803,0.71675,0.92231,0.89908,0.93673,0.52174,0.96455,1.97847,0.55803,1.08542,0.000401938,0.000401938,0.000401938
43,11424.9,1.07644,2.22412,0.65822,1.11186,0.95043,0.94383,0.97604,0.7162,0.91347,0.90055,0.9354,0.5212,0.96234,1.98281,0.5533,1.08427,0.000392563,0.000392563,0.000392563
44,11668.5,1.07155,2.20115,0.65154,1.11317,0.94963,0.94751,0.97795,0.71805,0.91925,0.89935,0.9383,0.52353,0.96392,1.97874,0.54295,1.08567,0.000383113,0.000383113,0.000383113
45,11914.5,1.07388,2.19576,0.64182,1.10934,0.95097,0.94559,0.97809,0.71891,0.91874,0.89931,0.9387,0.52364,0.96467,1.9758,0.54662,1.08582,0.000373596,0.000373596,0.000373596
46,12160.7,1.07043,2.19933,0.6456,1.1101,0.94809,0.94673,0.97708,0.71932,0.9135,0.89737,0.93592,0.52592,0.96036,1.97411,0.54888,1.08364,0.000364022,0.000364022,0.000364022
47,12402.1,1.06551,2.18584,0.63928,1.10878,0.95041,0.94656,0.97744,0.72231,0.91739,0.89861,0.93815,0.52847,0.95428,1.96389,0.54256,1.08025,0.0003544,0.0003544,0.0003544
48,12645.6,1.06245,2.17811,0.63722,1.10549,0.95435,0.94798,0.97869,0.7209,0.91759,0.89941,0.93765,0.52429,0.9582,1.9635,0.54549,1.08164,0.00034474,0.00034474,0.00034474
49,12889.8,1.05847,2.17801,0.63464,1.10381,0.94828,0.94741,0.97738,0.71937,0.9103,0.89748,0.93417,0.52328,0.95954,1.9751,0.54625,1.08171,0.000335051,0.000335051,0.000335051
50,13136.3,1.05597,2.17718,0.62801,1.10028,0.95025,0.94793,0.9781,0.72256,0.91821,0.90019,0.93844,0.52797,0.95276,1.95657,0.54054,1.07937,0.000325343,0.000325343,0.000325343
51,13380.3,1.05521,2.16732,0.62867,1.09884,0.9542,0.94641,0.9792,0.72181,0.91868,0.89986,0.93691,0.52585,0.95014,1.9576,0.54456,1.07714,0.000315625,0.000315625,0.000315625
52,13626.1,1.04727,2.15589,0.619,1.09672,0.95649,0.9483,0.97957,0.72489,0.92243,0.90106,0.94047,0.52865,0.95425,1.94783,0.53315,1.07566,0.000305907,0.000305907,0.000305907
53,13870.4,1.04681,2.15127,0.62576,1.09779,0.95564,0.94779,0.97924,0.72511,0.92154,0.90253,0.94025,0.52997,0.94901,1.94429,0.53329,1.07275,0.000296199,0.000296199,0.000296199
54,14116.7,1.04394,2.14931,0.62287,1.09679,0.95532,0.95104,0.97922,0.72482,0.92163,0.89969,0.93876,0.52984,0.95096,1.94959,0.53401,1.07414,0.00028651,0.00028651,0.00028651
55,14360.3,1.04543,2.13815,0.61632,1.09285,0.95482,0.94968,0.979,0.72706,0.91802,0.90455,0.93946,0.53139,0.94374,1.94052,0.53014,1.07108,0.00027685,0.00027685,0.00027685
56,14604.8,1.04599,2.14477,0.61715,1.09363,0.95448,0.95132,0.97892,0.72694,0.92123,0.90607,0.94134,0.53403,0.94527,1.9385,0.52413,1.07336,0.000267228,0.000267228,0.000267228
57,14847.8,1.04577,2.15488,0.61674,1.09201,0.9564,0.95075,0.97926,0.72818,0.92181,0.90604,0.94102,0.53124,0.94098,1.94121,0.52873,1.07071,0.000257654,0.000257654,0.000257654
58,15090.8,1.03438,2.13034,0.61054,1.08957,0.95642,0.95094,0.9792,0.72647,0.92187,0.90441,0.93982,0.53038,0.9461,1.94049,0.52667,1.07031,0.000248137,0.000248137,0.000248137
59,15336.2,1.03218,2.13693,0.60829,1.08601,0.95789,0.95175,0.9801,0.7292,0.92605,0.90321,0.9417,0.53234,0.94196,1.93298,0.5231,1.06744,0.000238687,0.000238687,0.000238687
60,15578.9,1.02614,2.10753,0.60286,1.08277,0.95775,0.95273,0.97996,0.72926,0.92349,0.9041,0.94041,0.53329,0.94245,1.93302,0.52242,1.06899,0.000229312,0.000229312,0.000229312
